StartDate,wildfires,biodiversity,SLR,flooding,drought,ocean,infections,hurricanes,energy,waterways,solar,wind,coal,hydro,gas,nuclear,oilPercent,gasPercent,coalPercent,renewPercent,nuclearPercent,offshoreDrill,offshoreWind,nuclearLocal,retreat,develop,pipelines,seaWalls,taxRebates,fracking,nep1,nep2,nep3,nep4,nep5,nep6,sci1,sci2,sci3,sci4,sci5,sciPol1,sciPol2,sciPol3,sciPol4,sciPol5,cckIcecap,cckAveTemp,cckCoastal,cckHurricanes,cckNuclear,cckCancer,cckEffects,cckPlants,cckGas,gcc,gccCertIS,gccCertISNOT,gccCert,gccAnthro,gccSciCon,gccReduce,gccIndiv,gccHurricanes,risk,gccCongress,gccPres,gccCorps,gccCitizens,gccLocalGov,gccStateGov,gccMC,IntAgree,Renew,Nuclear,Tax,EPA,CapTrade,GeoEng,egal1,indiv1,hier1,fatal1,egal2,indiv2,hier2,fatal2,egal3,indiv3,hier3,fatal3,age,gender,edu,zip,religion,religionOther,bornAgain,attend,party,partyOther,partyLean,party2,partyIden,ideology,race,inc,nep1REV,nep4REV,nep5REV,nepScale,sci2REV,sci3REV,sci4REV,sciScale,sciPol4REV,sciPol5REV,sciPolScale,cckIcecapC,cckAveTempC,cckCoastalC,cckHurricanesC,cckNuclearC,cckCancerC,cckEffectsC,cckPlantsC,cckGasC,gccKnow,gccDummy,happening,gccAnthroDummy,sciconsensus,egal,indiv,hier,fatal,male,partisan,white
10/8/17 16:46,5,5,3,5,5,5,5,4,5,5,4,4,4,4,4,4,20,30,20,10,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,0,1,1,3,1,3,NA,4,1,4,2,5,5,7,-1,-1,-1,-1,-1,-1,-1,3,4,4,4,4,5,4,3,3,3,3,3,3,4,5,3,4,2,4,19,3,2,75287,Choose not to answer,,NA,0,Independent,,Neither,0,0,4,6,1,4,4,4,4,4,4,4,4,4,4,4,0,1,1,1,0,1,1,0,0,5,1,4,1,0,3,3,3,4,1,4,0
10/7/17 1:22,7,8,7,8,8,7,8,6,7,6,7,6,2,6,3,4,20,20,5,50,5,3,5,1,4,4,4,6,5,3,4,4,4,3,5,5,3,3,3,4,5,5,6,4,3,4,1,1,1,1,0,1,0,0,1,1,1,NA,2,1,1,3,3,3,6,1,2,1,1,1,1,1,6,7,3,5,6,4,6,4,4,5,4,5,5,4,3,6,3,3,6,19,2,2,35178,Choose not to answer,,NA,1,Independent,,Neither,0,0,2,4,3,4,5,3,4,5,5,4,4,5,4,5,0,1,1,1,1,0,0,1,1,6,1,2,1,1,5,4,4,4,0,4,0
10/6/17 4:03,10,10,10,7,0,8,7,9,8,7,7,7,2,7,2,2,0,0,0,100,0,1,6,1,4,6,2,6,6,1,4,7,6,2,2,7,5,6,4,5,5,5,7,3,2,6,1,1,1,1,1,1,0,1,1,1,3,NA,4,1,1,2,2,5,10,-2,-2,-2,-1,1,1,1,7,7,1,7,7,5,7,6,2,4,3,6,2,5,5,7,3,3,6,19,2,4,97527,Atheist,,NA,0,Democratic,,,-1,3,1,7,3,4,6,6,6,2,4,3,4,6,2,5,0,1,1,1,0,0,0,0,1,4,1,4,1,1,6,2,4,5,0,1,1
10/8/17 19:04,5,6,5,4,2,5,4,6,7,5,6,5,2,5,2,4,15,20,10,40,15,4,5,2,5,4,4,6,4,3,3,5,6,2,6,6,4,3,2,2,3,4,5,4,4,3,1,1,1,1,1,1,1,1,2,1,3,NA,4,1,1,2,2,4,6,1,2,2,2,1,1,1,4,6,2,4,5,5,6,4,3,3,2,5,2,2,3,6,3,3,3,19,2,4,30084,Protestant,,1,4,Democratic,,,-1,2,2,4,4,5,6,2,5,5,6,6,5,4,5,4,0,1,1,1,0,0,1,0,0,4,1,4,1,1,5,3,3,3,0,2,0
10/8/17 21:58,8,7,9,4,5,7,8,9,5,6,7,7,1,7,3,6,0,0,0,90,10,1,6,4,3,6,1,4,4,1,6,7,7,1,6,6,6,1,1,2,6,4,7,5,3,7,1,1,1,1,0,1,0,1,1,1,3,NA,4,1,1,3,4,5,10,2,2,2,2,2,2,0,7,7,4,6,7,4,7,7,2,4,4,7,3,3,3,4,3,7,5,19,3,4,92807,Agnostic,,NA,1,Democratic,,,-1,2,1,7,2,2,7,2,5,7,7,6,6,5,1,4,0,1,1,1,1,0,0,0,1,5,1,4,1,1,6,3,5,4,1,2,1
10/9/17 9:34,6,7,10,9,7,9,8,10,9,7,7,6,4,6,4,4,37,29,15,10,9,3,4,2,5,5,4,6,5,6,6,6,5,6,6,7,5,3,6,5,5,5,6,6,5,7,1,1,1,1,1,0,1,1,1,1,1,NA,2,1,1,3,1,5,9,1,2,1,2,1,1,1,4,5,3,5,4,4,4,5,5,5,5,4,3,4,5,4,6,5,2,19,2,4,39145,Choose not to answer,,NA,0,Democratic,,,-1,3,2,7,3,2,2,2,4,5,2,3,4,3,1,4,0,1,1,1,0,1,1,0,1,6,1,2,1,1,4,5,5,4,0,1,1
10/9/17 20:46,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,6,3,5,5,6,6,3,3,1,1,1,6,1,2,2,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3,4,60016,Hindu,,NA,4,Democratic,,,-1,2,2,3,7,2,3,2,4,5,7,7,5,6,NA,NA,0,1,1,1,0,0,1,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0
10/6/17 0:51,5,5,0,0,5,5,0,5,5,5,5,5,4,3,4,4,0,100,0,0,0,5,2,1,4,7,3,4,5,3,3,5,3,5,3,4,2,6,5,3,5,2,2,2,6,7,1,0,0,0,0,1,1,0,1,1,3,NA,4,2,3,1,5,3,3,NA,0,-1,0,1,-1,0,1,NA,5,3,4,2,4,4,4,2,4,4,2,2,3,2,3,4,2,19,2,2,29180,Other (please specify),Christian,NA,2,Republican,,,1,2,4,4,1,5,3,5,4,2,3,5,3,2,1,2,0,0,0,0,1,0,1,1,1,4,1,4,0,0,3,3,3,3,0,6,0
10/9/17 8:10,6,7,6,7,7,7,4,7,5,6,6,7,5,5,4,3,37,23,20,15,5,6,3,3,4,3,6,2,5,5,2,4,2,3,6,4,5,4,5,3,3,3,5,5,5,5,1,1,1,1,1,1,1,1,1,-1,NA,1,2,3,1,1,6,2,3,1,1,0,0,1,1,0,5,4,4,4,4,5,5,4,3,5,5,5,5,4,5,3,5,NA,5,19,2,4,48049,Protestant,,1,4,Republican,,,1,2,5,7,1,6,5,2,4,4,3,5,4,3,3,4,0,1,1,1,0,0,1,0,1,5,0,-2,0,1,4,4,NA,5,0,6,1
10/10/17 4:34,7,0,6,4,6,9,0,0,7,7,7,7,7,7,7,7,0,0,0,1,0,1,7,5,2,7,6,7,5,4,6,7,7,7,7,6,5,5,3,5,5,4,6,7,5,7,1,1,1,1,1,1,0,1,4,-1,NA,2,3,1,1,0,1,2,8,1,2,0,1,1,0,0,5,6,7,5,5,7,7,6,5,7,6,7,6,7,5,5,5,4,7,19,3,4,91706,Catholic,,1,4,Republican,,,1,2,2,2,6,2,1,1,4,3,5,3,4,3,1,4,0,1,1,1,0,0,0,0,0,3,0,-3,1,1,6,5,6,6,1,6,0
10/10/17 11:29,10,6,4,9,7,8,10,9,8,9,7,7,4,7,4,5,20,15,15,30,20,5,7,4,5,5,5,4,6,4,4,5,5,5,4,5,4,4,5,5,5,5,7,5,5,5,1,1,1,1,1,1,1,1,2,-1,NA,2,3,2,2,0,4,3,8,0,0,0,2,1,1,1,5,5,6,6,5,NA,5,4,5,4,4,4,4,5,4,5,4,4,5,19,1,NA,NA,Protestant,,1,4,Republican,,,1,2,5,7,6,4,3,4,4,4,3,3,4,3,3,5,0,1,1,1,0,0,1,0,0,4,0,-3,0,0,4,4,4,4,NA,6,1
10/7/17 6:40,5,6,7,4,7,4,6,6,4,6,4,4,4,2,3,3,0,0,0,100,0,4,4,5,4,3,1,3,4,5,5,4,6,6,5,3,3,2,6,6,5,5,2,3,4,5,0,0,1,1,0,1,1,0,4,1,1,NA,2,3,3,0,2,4,1,-2,0,-1,-1,-1,-1,1,4,6,4,3,4,6,3,4,3,4,6,4,2,2,5,5,5,4,3,20,2,4,19734,Catholic,,0,1,Independent,,Neither,0,0,6,7,6,3,2,3,4,6,2,2,4,4,3,3,1,0,1,1,1,0,1,1,0,6,1,2,0,0,4,3,3,5,0,4,1
10/9/17 11:20,6,4,5,2,0,3,6,7,6,5,7,7,4,7,4,2,15,15,15,53,2,5,5,1,2,4,3,4,5,4,2,5,5,3,5,7,3,5,5,5,3,4,3,4,3,4,1,1,1,1,1,1,0,0,1,1,2,NA,3,1,1,3,5,4,6,1,1,2,2,2,1,1,6,7,3,4,7,5,7,4,6,3,6,2,4,4,2,1,2,2,3,20,3,2,22193,Choose not to answer,,NA,1,Independent,,Neither,0,0,4,7,3,6,5,3,5,3,3,3,3,5,4,4,0,1,1,1,0,0,0,1,1,5,1,3,1,1,2,4,3,4,1,4,1
10/6/17 0:33,10,9,10,8,8,10,10,10,10,10,7,7,1,4,4,1,4,10,5,70,1,1,7,2,7,7,1,5,7,1,2,7,7,2,3,7,5,4,3,5,5,5,7,5,4,5,1,1,1,1,1,1,0,1,1,1,3,NA,4,1,1,3,2,5,10,2,2,2,2,2,2,2,7,7,2,6,7,7,6,7,1,3,4,7,2,2,4,7,3,3,2,20,2,4,90042,Catholic,,0,2,Democratic,,,-1,2,1,5,2,6,6,5,6,4,5,3,4,4,3,5,0,1,1,1,0,0,0,0,1,4,1,4,1,1,7,2,3,3,0,2,0
10/9/17 14:52,10,6,8,2,2,10,8,10,7,6,7,7,6,7,6,4,15,20,15,40,5,5,7,1,1,4,4,5,7,1,3,7,7,1,3,7,5,4,3,3,4,5,4,3,2,2,1,1,1,1,1,1,0,1,1,1,3,NA,4,1,1,2,4,4,10,2,2,2,2,2,2,2,4,7,2,5,5,4,6,4,3,7,3,5,4,3,2,3,3,1,1,20,2,4,32750,Choose not to answer,,NA,0,Democratic,,,-1,3,1,7,4,5,7,5,6,4,5,5,5,6,6,5,0,1,1,1,0,0,0,0,1,4,1,4,1,1,4,3,4,2,0,1,1
10/10/17 11:20,10,6,7,7,8,5,8,10,8,7,5,5,5,6,5,6,20,20,20,20,20,5,6,3,6,5,3,5,4,5,6,5,6,6,6,5,5,7,5,6,6,5,6,7,5,6,1,1,1,0,1,0,1,0,3,1,3,NA,4,1,1,2,1,4,9,2,2,2,2,2,2,2,6,6,6,6,5,5,6,5,5,4,5,4,5,5,4,5,5,4,4,20,3,4,94589,Catholic,,0,3,Democratic,,,-1,3,4,3,1,2,2,2,4,1,3,2,3,3,2,5,0,1,1,0,0,1,1,1,0,5,1,4,1,1,5,5,4,4,1,1,0
10/5/17 23:21,9,10,6,10,6,10,5,8,8,8,7,7,4,2,7,3,30,15,20,25,10,5,7,6,6,7,7,5,5,6,6,5,6,7,5,4,7,5,7,5,7,7,6,4,3,6,1,0,0,1,1,1,1,0,3,1,2,NA,3,2,3,3,3,3,4,-1,-2,-1,0,0,0,0,4,6,4,6,3,4,6,6,5,6,5,5,5,4,5,5,5,5,4,20,2,4,7643,Catholic,,0,2,Democratic,,,-1,2,4,4,5,2,1,3,4,3,1,3,4,5,2,5,0,0,0,1,0,0,1,1,0,3,1,3,0,0,5,5,5,5,0,2,0
10/7/17 15:40,0,0,0,0,0,0,10,10,0,10,7,7,1,7,7,1,20,20,20,20,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,7,1,1,1,7,1,0,1,0,1,1,0,0,1,1,0,NA,1,1,4,0,7,1,0,2,2,2,2,2,2,2,1,7,1,7,7,1,1,1,1,7,1,1,7,7,7,1,1,7,7,20,2,4,33542,Protestant,,0,4,Republican,,,1,2,6,7,4,1,1,1,4,7,1,7,6,7,1,3,0,0,1,0,0,0,0,1,1,3,1,1,1,0,1,3,7,5,0,6,1
10/9/17 16:40,5,7,6,7,6,4,8,3,6,7,4,5,4,4,4,3,20,20,20,20,20,4,2,1,3,3,1,1,4,3,NA,5,4,5,4,4,4,3,4,3,5,3,3,3,5,3,1,0,1,1,1,0,1,0,1,1,1,NA,2,2,2,2,5,4,2,0,-1,0,-1,0,-1,0,4,5,5,4,5,5,4,6,4,5,5,5,4,5,5,5,5,5,4,20,2,5,77550,Agnostic,,NA,4,Republican,,,1,2,3,7,7,NA,3,4,NA,5,4,5,5,3,5,3,0,0,1,1,0,1,1,1,1,6,1,2,0,0,5,4,5,5,0,6,1
10/9/17 13:46,10,8,10,9,10,8,9,8,10,10,6,4,5,5,5,4,40,5,15,30,10,4,5,1,5,5,5,5,3,5,5,6,6,2,5,7,5,5,3,6,5,6,5,6,5,5,1,1,1,1,1,1,0,1,1,1,2,NA,3,1,1,2,4,4,4,2,2,2,2,2,2,2,2,7,1,6,7,6,7,7,2,6,4,6,1,6,7,4,1,6,1,20,2,2,92112,Protestant,,1,5,Republican,,,1,1,4,3,2,3,6,3,5,3,5,2,4,3,3,5,0,1,1,1,0,0,0,0,1,4,1,3,1,1,6,1,6,4,0,5,0
10/9/17 12:34,10,10,10,10,10,10,10,10,10,10,7,7,4,7,5,2,10,60,10,10,10,1,7,1,1,7,5,7,7,3,3,7,7,1,7,7,1,6,7,3,2,7,4,7,7,6,1,1,0,0,1,1,0,1,1,1,3,NA,4,1,1,3,7,2,10,2,2,2,2,2,2,2,7,7,7,1,7,7,7,6,6,5,6,6,6,4,2,2,4,5,3,21,2,2,19601,Atheist,,NA,0,Independent,,Democratic,-1,0,4,4,2,5,7,1,6,2,1,5,2,1,2,4,0,1,0,0,0,0,0,0,1,2,1,4,1,1,5,5,5,4,0,4,0
10/9/17 18:10,2,0,0,3,0,0,7,6,7,2,4,7,4,7,3,4,29,13,11,37,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,0,1,1,0,1,1,1,3,NA,4,1,1,2,1,3,5,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,2,4,72704,Choose not to answer,,NA,2,Independent,,Democratic,-1,0,4,7,1,4,4,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,0,0,1,2,1,4,1,1,4,4,4,4,0,4,1
10/9/17 4:31,6,5,8,6,7,6,5,8,9,4,5,5,5,3,4,5,21,40,9,20,10,7,7,7,6,7,6,6,6,6,7,7,7,7,7,7,6,7,6,6,7,7,6,6,6,6,1,0,1,1,1,1,1,1,1,-1,NA,2,3,2,1,4,5,5,4,-1,0,1,0,0,0,-2,6,6,6,6,5,7,7,7,7,5,7,7,5,6,6,5,6,7,6,21,3,4,10462,Muslim,,NA,3,Independent,,Democratic,-1,0,2,3,2,1,1,1,4,1,2,2,4,2,2,5,0,0,1,1,0,0,1,0,1,4,0,-3,0,1,6,6,6,6,1,4,0
10/9/17 10:52,4,6,6,5,6,7,7,6,6,5,6,7,2,7,4,1,0,10,0,90,0,3,5,2,3,3,2,3,2,3,4,7,5,5,4,7,4,5,4,4,3,5,4,5,4,4,1,0,1,1,1,0,1,1,1,1,1,NA,2,1,2,1,5,4,6,1,1,0,2,1,1,1,4,6,2,4,4,4,4,6,5,6,5,5,4,5,5,6,4,4,5,21,2,2,27513,Agnostic,,NA,0,Independent,,Neither,0,0,4,7,3,4,3,4,5,3,4,4,4,4,4,4,0,0,1,1,0,1,1,0,1,5,1,2,1,0,6,4,5,5,0,4,1
10/10/17 11:23,5,5,4,6,3,6,8,8,5,4,7,7,2,7,4,1,20,30,10,40,0,3,5,1,1,3,2,5,5,3,2,5,1,2,3,7,1,4,3,4,1,4,4,5,1,2,0,1,1,1,1,1,0,0,4,1,1,NA,2,1,2,3,6,3,7,1,1,1,1,1,1,1,4,5,1,4,3,3,4,2,7,1,4,1,5,2,4,3,2,5,4,21,3,4,33175,Choose not to answer,,NA,0,Independent,,Neither,0,0,4,5,1,6,6,5,5,4,5,4,3,7,6,5,1,1,1,1,0,0,0,1,0,5,1,2,1,0,2,5,3,4,1,4,0
10/10/17 11:30,8,8,7,8,9,7,8,7,7,8,3,5,5,4,3,4,15,30,5,50,0,6,6,6,6,4,7,6,5,6,4,5,4,6,5,5,6,6,5,5,6,4,5,6,5,5,1,1,0,1,1,0,0,1,3,1,1,NA,2,1,3,1,2,4,7,1,0,1,1,1,1,1,5,6,4,3,5,5,5,4,4,3,5,5,4,5,6,5,5,6,4,21,3,2,78211,Choose not to answer,,NA,0,Independent,,Neither,0,0,4,5,2,4,2,3,4,2,3,3,4,3,3,4,0,1,0,1,0,1,0,0,0,3,1,2,1,0,5,4,5,5,1,4,0
10/7/17 13:28,8,5,6,7,9,5,8,9,8,8,7,7,1,4,4,1,37,29,15,10,9,3,6,3,3,7,2,5,6,6,2,5,3,1,5,7,5,4,4,7,5,7,6,6,5,5,1,0,1,1,1,1,1,1,1,1,2,NA,3,1,1,3,4,1,10,2,2,2,2,1,1,2,6,6,4,4,5,5,5,5,5,5,6,6,6,4,4,4,6,6,5,21,2,4,15559,Atheist,,NA,0,Independent,,Neither,0,0,3,7,3,6,7,3,5,4,4,1,4,3,3,5,0,0,1,1,0,0,1,0,1,4,1,3,1,1,5,6,5,5,0,4,1
10/10/17 1:08,8,9,7,7,7,10,8,10,10,10,7,7,4,5,4,5,1,5,15,78,1,1,7,4,4,6,3,7,7,4,4,7,4,1,5,7,5,6,2,4,5,6,6,3,3,4,1,1,1,0,1,0,1,0,1,1,2,NA,3,1,1,2,7,3,9,1,1,1,2,1,1,1,4,7,4,4,5,4,7,7,4,1,4,4,3,4,2,7,4,4,1,21,3,2,60411,Other (please specify),No religion but not atheist,NA,0,Independent,,Neither,0,0,4,4,1,4,7,3,5,2,6,4,4,5,4,5,0,1,1,0,0,1,1,1,1,6,1,3,1,1,6,4,3,2,1,4,0
10/10/17 11:28,6,5,5,5,3,2,9,2,9,10,6,6,2,3,2,2,35,30,15,10,10,5,6,2,4,1,2,4,4,6,4,3,5,2,4,5,4,4,4,4,5,5,4,4,3,3,1,0,1,1,1,1,1,1,1,1,2,NA,3,1,1,2,6,3,5,2,2,1,1,1,1,1,6,5,2,4,3,5,3,3,4,3,3,3,3,4,4,5,5,5,3,21,3,4,49668,Atheist,,NA,0,Independent,,Neither,0,0,4,7,6,4,6,4,4,4,4,4,4,5,5,5,0,0,1,1,0,0,1,0,1,4,1,3,1,1,4,4,4,3,1,4,1
10/8/17 17:58,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,20,20,20,20,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,0,0,1,1,4,0,NA,NA,0,1,4,2,4,3,5,2,0,-1,1,-1,-1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,2,2,30643,Agnostic,,NA,1,Independent,,Neither,0,0,4,7,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,1,1,1,1,0,0,6,0,0,1,0,4,4,4,4,0,4,1
10/6/17 21:22,10,9,9,10,9,10,10,9,10,9,7,6,7,7,6,6,20,20,20,20,20,7,6,6,7,7,7,6,7,6,7,6,6,7,6,7,7,7,7,6,6,7,7,6,6,7,0,1,0,1,1,0,1,0,1,1,3,NA,4,1,1,0,7,5,10,1,2,2,2,1,2,1,6,7,7,6,6,7,7,6,7,7,6,6,6,7,6,7,6,7,7,21,3,2,60185,Catholic,,1,5,Democratic,,,-1,3,1,7,3,1,1,2,4,1,1,2,3,2,1,5,1,1,0,1,0,1,1,1,1,7,1,4,1,1,6,6,7,6,1,1,1
